,Standard Industrial Classification (Revised 2007)     Section           Division -,Standard Industrial Classification (Revised 2007)     Section           Division -,Country and Region -,Country and Region -,STANDARD ERROR Total turnover,STANDARD ERROR Approximate gross value added at basic prices (aGVA),"STANDARD ERROR Total purchases of goods, materials and services",STANDARD ERROR Total employment costs,COEFFICIENT OF VARIATION Total turnover,COEFFICIENT OF VARIATION Approximate gross value added at basic prices (aGVA),"COEFFICIENT OF VARIATION Total purchases of goods, materials and services",COEFFICIENT OF VARIATION Total employment costs
6043,49,Land transport and transport via pipelines ,United Kingdom,2014.0,823,383,648.8,148.8,0.02,0.02,0.02,0.01
6044,49,Land transport and transport via pipelines ,United Kingdom,2015.0,787.3,455.7,600.3,169.2,0.01,0.02,0.02,0.01
6045,49,Land transport and transport via pipelines ,United Kingdom,2016.0,1262.4,590.1,1037.7,171.2,0.02,0.02,0.03,0.01
6046,49,Land transport and transport via pipelines ,United Kingdom,2017.0,1010.8,636.5,600.9,184.6,0.02,0.02,0.02,0.01
6047,49,Land transport and transport via pipelines ,United Kingdom,2018.0,1100.4,451.4,784.5,253.6,0.02,0.02,0.02,0.02
6048,49,Land transport and transport via pipelines ,United Kingdom,2019.0,2308.4,712,1953.6,267.8,0.04,0.02,0.05,0.02
6049,50,Water transport ,North East,2012.0,21.6,7.7,17.3,2,0.44,0.3,0.73,0.2
6050,50,Water transport ,North East,2013.0,22.3,5.9,20.6,3,0.28,0.33,0.34,0.27
6051,50,Water transport ,North East,2014.0,14.2,6.4,12.3,2,0.18,0.21,0.26,0.2
6052,50,Water transport ,North East,2015.0,10.5,3.7,7.6,2.5,0.45,0.42,0.52,0.34
6053,50,Water transport ,North East,2016.0,15.6,5.5,11.5,1.5,0.75,0.56,1.03,0.44
6054,50,Water transport ,North East,2017.0,45.3,9.4,41.2,2.3,1.76,0.93,2.63,0.64
6055,50,Water transport ,North East,2018.0,23.9,6.3,22.3,1.6,0.38,0.39,0.47,0.27
6056,50,Water transport ,North East,2019.0,17.7,7.9,14,2.2,0.59,0.57,0.87,0.38
6057,50,Water transport ,North West,2012.0,87.1,25,75.1,5.1,0.23,0.29,0.26,0.13
6058,50,Water transport ,North West,2013.0,85.8,22.3,79.5,10.5,0.23,0.26,0.27,0.21
6059,50,Water transport ,North West,2014.0,82.6,37.1,69.2,10.4,0.16,0.17,0.24,0.19
6060,50,Water transport ,North West,2015.0,67.8,25.1,49.4,16.3,0.34,0.27,0.43,0.31
6061,50,Water transport ,North West,2016.0,119.5,42.5,91.5,11.8,0.34,0.46,0.35,0.24
6062,50,Water transport ,North West,2017.0,231.2,45.8,215.9,10.7,0.66,0.43,0.89,0.21
6063,50,Water transport ,North West,2018.0,180.6,48,162.9,11.2,0.29,0.51,0.3,0.16
6064,50,Water transport ,North West,2019.0,112.2,49.8,89.7,14.4,0.3,0.35,0.39,0.2
6065,50,Water transport ,Yorkshire and The Humber,2012.0,34.9,15.5,27,3.2,0.24,0.23,0.35,0.26
6066,50,Water transport ,Yorkshire and The Humber,2013.0,40.7,12.4,37.8,5.5,0.24,0.23,0.33,0.23
6067,50,Water transport ,Yorkshire and The Humber,2014.0,31.8,14.8,26.5,4.2,0.18,0.19,0.26,0.2
6068,50,Water transport ,Yorkshire and The Humber,2015.0,21,10.6,14.4,4.7,0.25,0.23,0.37,0.32
6069,50,Water transport ,Yorkshire and The Humber,2016.0,35.8,13.9,27,3.6,0.41,0.33,0.58,0.34
6070,50,Water transport ,Yorkshire and The Humber,2017.0,80.9,*,*,4,0.59,*,*,0.37
6071,50,Water transport ,Yorkshire and The Humber,2018.0,68.8,*,*,3.9,0.33,*,*,0.24
6072,50,Water transport ,Yorkshire and The Humber,2019.0,32,*,*,4,0.27,*,*,0.26
6073,50,Water transport ,East Midlands,2012.0,13.6,5.6,10.8,1.2,0.34,0.32,0.49,0.34
6074,50,Water transport ,East Midlands,2013.0,17,4.5,15.6,2.3,0.28,0.33,0.33,0.26
6075,50,Water transport ,East Midlands,2014.0,11.1,5,9.5,1.5,0.2,0.24,0.27,0.24
6076,50,Water transport ,East Midlands,2015.0,11,3.9,8,2.6,0.46,0.46,0.52,0.35
6077,50,Water transport ,East Midlands,2016.0,17.4,6.2,12.6,1.7,0.95,0.95,1.02,0.53
6078,50,Water transport ,East Midlands,2017.0,34.2,6.9,32.3,1.7,1.36,0.73,2.03,0.56
6079,50,Water transport ,East Midlands,2018.0,26.8,6.6,24.9,1.7,0.43,0.69,0.47,0.38
6080,50,Water transport ,East Midlands,2019.0,16.6,*,*,2.1,0.55,*,*,0.38
6081,50,Water transport ,West Midlands,2012.0,20.6,8.5,16.5,1.9,0.3,0.3,0.41,0.28
6082,50,Water transport ,West Midlands,2013.0,25.6,6.6,23.6,3.2,0.26,0.35,0.3,0.25
6083,50,Water transport ,West Midlands,2014.0,20.7,9.5,17.7,2.9,0.19,0.24,0.26,0.23
6084,50,Water transport ,West Midlands,2015.0,13.4,4.7,9.8,3.1,0.45,0.42,0.52,0.34
6085,50,Water transport ,West Midlands,2016.0,19.9,7.3,14.5,2,0.83,0.88,0.89,0.5
6086,50,Water transport ,West Midlands,2017.0,58.4,11.8,55.1,3,1.47,0.78,2.21,0.6
6087,50,Water transport ,West Midlands,2018.0,35.5,8.9,33.3,2.3,0.4,0.66,0.44,0.37
6088,50,Water transport ,West Midlands,2019.0,16.1,7.4,13,2.1,0.58,0.55,0.89,0.39
6089,50,Water transport ,East of England,2012.0,*,*,*,*,*,*,*,*
6090,50,Water transport ,East of England,2013.0,*,*,*,*,*,*,*,*
6091,50,Water transport ,East of England,2014.0,*,47.5,*,*,*,0.18,*,*
6092,50,Water transport ,East of England,2015.0,*,*,*,*,*,*,*,*
6093,50,Water transport ,East of England,2016.0,*,*,*,*,*,*,*,*
6094,50,Water transport ,East of England,2017.0,*,*,*,*,*,*,*,*
6095,50,Water transport ,East of England,2018.0,*,*,*,*,*,*,*,*
6096,50,Water transport ,East of England,2019.0,*,*,*,*,*,*,*,*
6097,50,Water transport ,London,2012.0,*,*,*,*,*,*,*,*
6098,50,Water transport ,London,2013.0,*,*,*,*,*,*,*,*
6099,50,Water transport ,London,2014.0,*,124.8,*,*,*,0.13,*,*
6100,50,Water transport ,London,2015.0,*,*,*,*,*,*,*,*
6101,50,Water transport ,London,2016.0,*,*,*,*,*,*,*,*
6102,50,Water transport ,London,2017.0,*,*,*,*,*,*,*,*
6103,50,Water transport ,London,2018.0,*,*,*,*,*,*,*,*
6104,50,Water transport ,London,2019.0,*,*,*,*,*,*,*,*
6105,50,Water transport ,South East,2012.0,336.6,111,276.6,46.7,0.13,0.15,0.14,0.18
6106,50,Water transport ,South East,2013.0,340.3,115.3,292.6,47.8,0.12,0.15,0.14,0.14
6107,50,Water transport ,South East,2014.0,336.7,116.8,280.2,60.2,0.1,0.11,0.12,0.14
6108,50,Water transport ,South East,2015.0,386.3,139.7,261,59.1,0.13,0.14,0.14,0.14
6109,50,Water transport ,South East,2016.0,414.3,143,304.7,58,0.14,0.17,0.14,0.14
6110,50,Water transport ,South East,2017.0,631.7,151.8,568.5,68.1,0.2,0.17,0.26,0.15
6111,50,Water transport ,South East,2018.0,538.6,155.3,460.3,59.3,0.16,0.17,0.2,0.13
6112,50,Water transport ,South East,2019.0,404.7,171.7,290,71.4,0.14,0.16,0.16,0.15
6113,50,Water transport ,South West,2012.0,69.6,27.7,55.1,6.1,0.41,0.37,0.59,0.28
6114,50,Water transport ,South West,2013.0,86.8,22.1,79.6,11.5,0.31,0.32,0.38,0.26
6115,50,Water transport ,South West,2014.0,94.7,43.1,75.9,12.4,0.23,0.28,0.3,0.25
6116,50,Water transport ,South West,2015.0,68,23.2,49.6,15,0.54,0.45,0.66,0.35
6117,50,Water transport ,South West,2016.0,98.7,33.9,73,9,1.07,0.9,1.32,0.39
6118,50,Water transport ,South West,2017.0,200.9,41.8,187,9.8,1.47,0.75,2.28,0.37
6119,50,Water transport ,South West,2018.0,166.6,42.2,153.7,9.8,0.46,0.64,0.51,0.29
6120,50,Water transport ,South West,2019.0,104.4,46.7,81.6,11.9,0.64,0.59,0.98,0.32
6121,50,Water transport ,England,2012.0,400.6,216.9,247.8,28.8,0.06,0.12,0.05,0.04
6122,50,Water transport ,England,2013.0,735.5,166.4,692.4,102.1,0.11,0.09,0.14,0.11
6123,50,Water transport ,England,2014.0,613.6,323.2,550.5,103.6,0.08,0.11,0.11,0.1
6124,50,Water transport ,England,2015.0,226.5,91.5,161.2,113.4,0.04,0.05,0.04,0.12
6125,50,Water transport ,England,2016.0,947,425.4,545.7,24.2,0.11,0.17,0.09,0.02
6126,50,Water transport ,England,2017.0,373,99,352.3,23.7,0.03,0.03,0.03,0.02
6127,50,Water transport ,England,2018.0,1126.3,92.2,1113,36.4,0.1,0.03,0.14,0.04
6128,50,Water transport ,England,2019.0,282.6,162.4,195.1,54.9,0.03,0.06,0.03,0.05
6129,50,Water transport ,Wales,2012.0,70.4,*,*,*,0.26,*,*,*
6130,50,Water transport ,Wales,2013.0,127.7,*,*,13.2,0.81,*,*,0.36
6131,50,Water transport ,Wales,2014.0,171.5,*,*,16.5,1.05,*,*,0.48
6132,50,Water transport ,Wales,2015.0,70.4,*,*,12.7,0.71,*,*,0.43
6133,50,Water transport ,Wales,2016.0,38.3,12,33.4,5.3,0.4,0.24,0.7,0.2
6134,50,Water transport ,Wales,2017.0,100.2,*,*,*,0.89,*,*,*
6135,50,Water transport ,Wales,2018.0,73.1,*,*,10.4,0.35,*,*,0.24
6136,50,Water transport ,Wales,2019.0,*,*,*,12,*,*,*,0.25
6137,50,Water transport ,Scotland,2012.0,120.4,58.1,85,10.1,0.21,0.24,0.25,0.15
6138,50,Water transport ,Scotland,2013.0,154.6,37.1,145.1,19.1,0.21,0.22,0.26,0.18
6139,50,Water transport ,Scotland,2014.0,114.7,55,92.8,15.3,0.18,0.24,0.22,0.15
6140,50,Water transport ,Scotland,2015.0,104.2,38.5,74.2,23.7,0.22,0.22,0.25,0.19
6141,50,Water transport ,Scotland,2016.0,124.8,49,88.4,12.9,0.34,0.36,0.37,0.15
6142,50,Water transport ,Scotland,2017.0,252.3,52,235.4,14.4,0.75,0.38,1.18,0.17
6143,50,Water transport ,Scotland,2018.0,172.6,45.1,160.4,15.8,0.27,0.23,0.36,0.11
6144,50,Water transport ,Scotland,2019.0,107.5,57,80.8,22.5,0.23,0.21,0.4,0.15
6145,50,Water transport ,Northern Ireland,2012.0,10.7,*,*,*,0.04,*,*,*
6146,50,Water transport ,Northern Ireland,2013.0,8.6,*,*,0.2,0.04,*,*,0.02
6147,50,Water transport ,Northern Ireland,2014.0,4.1,*,*,0.2,0.02,*,*,0.02
6148,50,Water transport ,Northern Ireland,2015.0,18.5,*,*,0.7,0.09,*,*,0.03
6149,50,Water transport ,Northern Ireland,2016.0,179,80,101.4,75.3,0.71,1.48,0.52,2.32
6150,50,Water transport ,Northern Ireland,2017.0,15,*,*,*,0.06,*,*,*
6151,50,Water transport ,Northern Ireland,2018.0,8.5,*,*,0.7,0.03,*,*,0.04
6152,50,Water transport ,Northern Ireland,2019.0,*,*,*,0.8,*,*,*,0.07
6153,50,Water transport ,United Kingdom,2012.0,507.4,282.8,291.4,28.8,0.07,0.13,0.05,0.03
6154,50,Water transport ,United Kingdom,2013.0,892.2,195.5,849,119.8,0.11,0.09,0.14,0.11
6155,50,Water transport ,United Kingdom,2014.0,683.9,388.9,623.9,121.2,0.08,0.12,0.11,0.1
6156,50,Water transport ,United Kingdom,2015.0,229,93.2,167.5,136.7,0.04,0.04,0.04,0.12
6157,50,Water transport ,United Kingdom,2016.0,1043.3,468.1,598.3,77.7,0.11,0.17,0.09,0.07
6158,50,Water transport ,United Kingdom,2017.0,188.2,86.4,190.6,17.1,0.01,0.03,0.02,0.01
6159,50,Water transport ,United Kingdom,2018.0,1308.3,96.6,1297.6,32.1,0.11,0.03,0.15,0.03
6160,50,Water transport ,United Kingdom,2019.0,287.2,166.5,186,52.2,0.03,0.05,0.03,0.04
6161,51,Air transport ,North East,2012.0,25,10.5,24.7,3.6,0.06,0.08,0.1,0.06
6162,51,Air transport ,North East,2013.0,30.2,11.7,25.3,3.9,0.07,0.1,0.08,0.06
6163,51,Air transport ,North East,2014.0,40.1,13.9,31.6,4.5,0.1,0.1,0.12,0.07
6164,51,Air transport ,North East,2015.0,44,14.4,32.7,5.9,0.1,0.08,0.13,0.09
6165,51,Air transport ,North East,2016.0,51.2,14.8,39.7,5.6,0.1,0.08,0.13,0.07
6166,51,Air transport ,North East,2017.0,48.1,20.4,34.3,5.8,0.09,0.1,0.1,0.07
6167,51,Air transport ,North East,2018.0,56,21,39.2,5.7,0.09,0.09,0.11,0.07
6168,51,Air transport ,North East,2019.0,66.6,20.4,50.3,6.3,0.12,0.1,0.15,0.09
6169,51,Air transport ,North West,2012.0,92.3,38.1,76.2,11.2,0.06,0.13,0.06,0.05
6170,51,Air transport ,North West,2013.0,99.8,40.3,84.6,10.2,0.06,0.11,0.07,0.04
6171,51,Air transport ,North West,2014.0,179.9,75.4,140.4,14.4,0.11,0.26,0.11,0.06
6172,51,Air transport ,North West,2015.0,125.3,46.6,94.1,9.8,0.07,0.08,0.08,0.04
6173,51,Air transport ,North West,2016.0,135.4,41.6,117.9,12.6,0.07,0.08,0.08,0.04
6174,51,Air transport ,North West,2017.0,108,41.6,96,12.5,0.05,0.07,0.07,0.04
6175,51,Air transport ,North West,2018.0,163.5,56.9,134.3,19.1,0.06,0.06,0.09,0.06
6176,51,Air transport ,North West,2019.0,186.7,63.2,183.7,20.9,0.08,0.08,0.12,0.07
6177,51,Air transport ,Yorkshire and The Humber,2012.0,71.5,36.4,82.5,6.3,0.18,0.21,0.38,0.09
6178,51,Air transport ,Yorkshire and The Humber,2013.0,107.7,38.8,110.3,8.9,0.23,0.2,0.4,0.12
6179,51,Air transport ,Yorkshire and The Humber,2014.0,126.9,27.7,116,11.4,0.26,0.13,0.45,0.13
6180,51,Air transport ,Yorkshire and The Humber,2015.0,150.8,30.2,137.8,14.1,0.27,0.11,0.53,0.16
6181,51,Air transport ,Yorkshire and The Humber,2016.0,147,24.7,137.5,10.3,0.25,0.09,0.45,0.09
6182,51,Air transport ,Yorkshire and The Humber,2017.0,85.8,*,*,9.8,0.13,*,*,0.08
6183,51,Air transport ,Yorkshire and The Humber,2018.0,156.4,*,*,11.2,0.2,*,*,0.08
6184,51,Air transport ,Yorkshire and The Humber,2019.0,319.5,*,*,29.5,0.39,*,*,0.23
6185,51,Air transport ,East Midlands,2012.0,45.6,12.9,34.6,6,0.12,0.15,0.12,0.1
6186,51,Air transport ,East Midlands,2013.0,55.7,18,46.4,6.9,0.14,0.22,0.15,0.12
6187,51,Air transport ,East Midlands,2014.0,32.2,10,26.6,2.4,0.15,0.14,0.2,0.07
6188,51,Air transport ,East Midlands,2015.0,47.3,15.5,35.8,5.3,0.13,0.11,0.18,0.1
6189,51,Air transport ,East Midlands,2016.0,58.1,14.3,47.7,6.1,0.13,0.11,0.16,0.1
6190,51,Air transport ,East Midlands,2017.0,53.8,18.8,40.6,6.4,0.13,0.13,0.16,0.1
6191,51,Air transport ,East Midlands,2018.0,52.9,18.3,40.9,4.8,0.11,0.09,0.14,0.07
6192,51,Air transport ,East Midlands,2019.0,66.7,*,*,6.9,0.22,*,*,0.18
6193,51,Air transport ,West Midlands,2012.0,46.9,18.8,37.2,4.3,0.12,0.61,0.11,0.07
6194,51,Air transport ,West Midlands,2013.0,60.2,23.9,46.4,5,0.14,0.65,0.12,0.07
6195,51,Air transport ,West Midlands,2014.0,56.1,24,45.1,4.2,0.14,0.53,0.15,0.07
6196,51,Air transport ,West Midlands,2015.0,61,25.5,48.9,4.8,0.13,0.21,0.14,0.07
6197,51,Air transport ,West Midlands,2016.0,59.7,26.2,48.1,4.9,0.1,0.23,0.1,0.06
6198,51,Air transport ,West Midlands,2017.0,65.5,29.2,51.6,6.6,0.12,0.34,0.12,0.09
6199,51,Air transport ,West Midlands,2018.0,53.2,28.6,39,5.2,0.08,0.14,0.08,0.06
6200,51,Air transport ,West Midlands,2019.0,84.8,36.3,72.8,9,0.12,0.2,0.15,0.1
6201,51,Air transport ,East of England,2012.0,*,*,*,*,*,*,*,*
6202,51,Air transport ,East of England,2013.0,*,*,*,*,*,*,*,*
6203,51,Air transport ,East of England,2014.0,*,84.3,*,*,*,0.15,*,*
6204,51,Air transport ,East of England,2015.0,*,*,*,*,*,*,*,*
6205,51,Air transport ,East of England,2016.0,*,*,*,*,*,*,*,*
6206,51,Air transport ,East of England,2017.0,*,*,*,*,*,*,*,*
6207,51,Air transport ,East of England,2018.0,*,*,*,*,*,*,*,*
6208,51,Air transport ,East of England,2019.0,*,*,*,*,*,*,*,*
6209,51,Air transport ,London,2012.0,*,*,*,*,*,*,*,*
6210,51,Air transport ,London,2013.0,*,*,*,*,*,*,*,*
6211,51,Air transport ,London,2014.0,*,220.7,*,*,*,0.06,*,*
6212,51,Air transport ,London,2015.0,*,*,*,*,*,*,*,*
6213,51,Air transport ,London,2016.0,*,*,*,*,*,*,*,*
6214,51,Air transport ,London,2017.0,*,*,*,*,*,*,*,*
6215,51,Air transport ,London,2018.0,*,*,*,*,*,*,*,*
6216,51,Air transport ,London,2019.0,*,*,*,*,*,*,*,*
6217,51,Air transport ,South East,2012.0,202.7,53,170.4,24.5,0.05,0.08,0.05,0.04
6218,51,Air transport ,South East,2013.0,238.2,58.4,213.2,23.6,0.06,0.1,0.06,0.04
6219,51,Air transport ,South East,2014.0,248.1,78.8,204.1,21.7,0.06,0.1,0.06,0.04
6220,51,Air transport ,South East,2015.0,286,59,244.2,23,0.06,0.05,0.07,0.04
6221,51,Air transport ,South East,2016.0,260.5,66.1,219.3,22.9,0.05,0.05,0.06,0.04
6222,51,Air transport ,South East,2017.0,260.7,57.7,247.5,28,0.06,0.05,0.08,0.05
6223,51,Air transport ,South East,2018.0,388.7,113,320.3,30.7,0.07,0.06,0.08,0.05
6224,51,Air transport ,South East,2019.0,494.3,139.2,390.6,39.2,0.08,0.09,0.09,0.06
6225,51,Air transport ,South West,2012.0,87.4,46.4,62,7.2,0.1,0.39,0.09,0.05
6226,51,Air transport ,South West,2013.0,105.1,38.2,83.3,10,0.12,0.29,0.12,0.08
6227,51,Air transport ,South West,2014.0,86.3,54.5,51.1,9.5,0.11,0.39,0.09,0.09
6228,51,Air transport ,South West,2015.0,75.8,48.4,49.3,7.2,0.09,0.24,0.08,0.07
6229,51,Air transport ,South West,2016.0,80.4,47.6,62.8,6.9,0.09,0.27,0.09,0.06
6230,51,Air transport ,South West,2017.0,69,50.7,60.7,7.5,0.07,0.35,0.08,0.06
6231,51,Air transport ,South West,2018.0,93.3,66.3,61.9,8.6,0.08,0.26,0.08,0.06
6232,51,Air transport ,South West,2019.0,125,34.3,109.3,13.1,0.11,0.1,0.14,0.09
6233,51,Air transport ,England,2012.0,217.7,61.9,202.9,24.8,0.01,0.02,0.01,0.01
6234,51,Air transport ,England,2013.0,343.8,83.2,307.2,32.2,0.02,0.02,0.02,0.01
6235,51,Air transport ,England,2014.0,193,184,106.3,16.2,0.01,0.03,0.01,0.01
6236,51,Air transport ,England,2015.0,230.8,142.1,121.4,20.3,0.01,0.02,0.01,0.01
6237,51,Air transport ,England,2016.0,293.7,146.8,237.8,27.8,0.01,0.02,0.01,0.01
6238,51,Air transport ,England,2017.0,181.3,59.8,159.8,23.9,0.01,0.01,0.01,0.01
6239,51,Air transport ,England,2018.0,229.5,132.7,161.5,42.9,0.01,0.01,0.01,0.01
6240,51,Air transport ,England,2019.0,307.1,101.9,305.9,42.8,0.01,0.01,0.02,0.01
6241,51,Air transport ,Wales,2012.0,15.3,*,*,*,0.15,*,*,*
6242,51,Air transport ,Wales,2013.0,19.8,*,*,1.6,0.17,*,*,0.07
6243,51,Air transport ,Wales,2014.0,23.8,*,*,1.5,0.21,*,*,0.07
6244,51,Air transport ,Wales,2015.0,17.1,*,*,1.3,0.14,*,*,0.06
6245,51,Air transport ,Wales,2016.0,21.3,7.6,14.6,1.6,0.16,0.19,0.16,0.08
6246,51,Air transport ,Wales,2017.0,23.6,9,15.9,1.9,0.21,0.38,0.19,0.11
6247,51,Air transport ,Wales,2018.0,26.2,9.9,17.5,2.3,0.17,0.21,0.17,0.12
6248,51,Air transport ,Wales,2019.0,27.4,9.8,20.8,2.2,0.19,0.28,0.19,0.11
6249,51,Air transport ,Scotland,2012.0,47.7,17.6,39.7,6,0.05,0.07,0.05,0.03
6250,51,Air transport ,Scotland,2013.0,65.9,22.1,55.8,6.9,0.06,0.07,0.08,0.04
6251,51,Air transport ,Scotland,2014.0,61.9,32.6,54.8,7.7,0.05,0.08,0.06,0.03
6252,51,Air transport ,Scotland,2015.0,88.4,39.8,69.1,8.7,0.06,0.09,0.07,0.03
6253,51,Air transport ,Scotland,2016.0,117.8,37.1,97.7,14.3,0.08,0.09,0.1,0.05
6254,51,Air transport ,Scotland,2017.0,102.8,32.7,89.4,21.3,0.07,0.08,0.08,0.08
6255,51,Air transport ,Scotland,2018.0,128.7,42.6,98.6,24.9,0.08,0.08,0.09,0.08
6256,51,Air transport ,Scotland,2019.0,131.1,41.3,108.2,22.1,0.08,0.08,0.1,0.08
6257,51,Air transport ,Northern Ireland,2012.0,10.2,*,*,*,0.07,*,*,*
6258,51,Air transport ,Northern Ireland,2013.0,1.3,*,*,0.1,0.01,*,*,*
6259,51,Air transport ,Northern Ireland,2014.0,1.3,*,*,0.1,0.01,*,*,*
6260,51,Air transport ,Northern Ireland,2015.0,2.1,*,*,1,0.01,*,*,0.04
6261,51,Air transport ,Northern Ireland,2016.0,6.3,11.1,8.3,1.3,0.03,0.08,0.09,0.04
6262,51,Air transport ,Northern Ireland,2017.0,18.4,9.2,18.9,1.6,0.09,0.07,0.22,0.05
6263,51,Air transport ,Northern Ireland,2018.0,42.8,18.5,28.4,4.2,0.15,0.1,0.27,0.11
6264,51,Air transport ,Northern Ireland,2019.0,5,6.8,6.9,1.6,0.02,0.06,0.05,0.05
6265,51,Air transport ,United Kingdom,2012.0,222,65.5,208,25.3,0.01,0.02,0.01,0.01
6266,51,Air transport ,United Kingdom,2013.0,368.6,87.6,325.8,33.9,0.02,0.02,0.02,0.01
6267,51,Air transport ,United Kingdom,2014.0,188.3,192.5,86.3,13.6,0.01,0.03,0.01,0.01
6268,51,Air transport ,United Kingdom,2015.0,232.4,150,111.1,20.8,0.01,0.02,0.01,0.01
6269,51,Air transport ,United Kingdom,2016.0,293.6,155.4,234.4,24.9,0.01,0.02,0.01,0.01
6270,51,Air transport ,United Kingdom,2017.0,166,54.4,145,11.6,0.01,0.01,0.01,0.01
6271,51,Air transport ,United Kingdom,2018.0,194.3,128.9,135.1,40,0.01,0.01,0.01,0.01
6272,51,Air transport ,United Kingdom,2019.0,288.6,93.8,304.6,39.9,0.01,0.01,0.01,0.01
6273,52,Warehousing and support activities  for ,North East,2012.0,143.8,23.1,135.7,*,0.1,0.04,0.17,*
6274,52,transportation ,North East,2013.0,298.5,176.9,176.7,93.8,0.14,0.21,0.17,0.22
6275,52,transportation ,North East,2014.0,148.7,40.3,115.7,16.4,0.06,0.05,0.1,0.04
6276,52,transportation ,North East,2015.0,73.9,50.8,45.9,18.2,0.03,0.06,0.05,0.04
6277,52,transportation ,North East,2016.0,71,53.7,49.7,12.3,0.04,0.08,0.05,0.03
6278,52,transportation ,North East,2017.0,107.7,52,68.9,16.3,0.05,0.07,0.06,0.04
6279,52,transportation ,North East,2018.0,268.6,49.4,246.9,23.9,0.11,0.05,0.17,0.05
6280,52,transportation ,North East,2019.0,238.4,77.5,173.6,25.6,0.11,0.08,0.15,0.05
6281,52,transportation ,North West,2012.0,230.2,124.3,206.2,*,0.04,0.05,0.07,*
6282,52,transportation ,North West,2013.0,249.7,149.2,179.8,39.3,0.04,0.05,0.06,0.03
6283,52,transportation ,North West,2014.0,209,94.4,172.3,35.6,0.03,0.03,0.05,0.02
6284,52,transportation ,North West,2015.0,837.7,426.9,420.1,31.8,0.1,0.1,0.11,0.02
6285,52,transportation ,North West,2016.0,376.6,169.3,287.5,88,0.05,0.05,0.07,0.05
6286,52,transportation ,North West,2017.0,829.2,346.8,530.8,113.3,0.09,0.09,0.11,0.06
6287,52,transportation ,North West,2018.0,604.4,222.3,454.9,54.3,0.06,0.05,0.08,0.03
6288,52,transportation ,North West,2019.0,521.3,211.6,431.4,40.5,0.05,0.04,0.07,0.02
6289,52,transportation ,Yorkshire and The Humber,2012.0,289.8,166.8,186.5,32.3,0.07,0.07,0.09,0.03
6290,52,transportation ,Yorkshire and The Humber,2013.0,211.1,115.3,148.7,23.7,0.05,0.05,0.07,0.02
6291,52,transportation ,Yorkshire and The Humber,2014.0,229.7,111.4,188.7,30.4,0.04,0.04,0.06,0.02
6292,52,transportation ,Yorkshire and The Humber,2015.0,290.5,168.6,153.6,47.8,0.05,0.06,0.05,0.04
6293,52,transportation ,Yorkshire and The Humber,2016.0,251.1,86.9,208.2,25.2,0.05,0.03,0.07,0.02
6294,52,transportation ,Yorkshire and The Humber,2017.0,346.2,78.3,306.6,41,0.05,0.03,0.08,0.03
6295,52,transportation ,Yorkshire and The Humber,2018.0,312.3,82.7,295.1,23,0.05,0.03,0.08,0.02
6296,52,transportation ,Yorkshire and The Humber,2019.0,422.4,131.6,332.7,56.1,0.06,0.04,0.09,0.04
6297,52,transportation ,East Midlands,2012.0,273,192.7,127.4,32.7,0.06,0.1,0.05,0.03
6298,52,transportation ,East Midlands,2013.0,211.5,74.1,183.8,40.5,0.04,0.04,0.06,0.04
6299,52,transportation ,East Midlands,2014.0,283.6,224.7,175.8,34.5,0.05,0.09,0.05,0.03
6300,52,transportation ,East Midlands,2015.0,293,141.9,237.8,123.6,0.06,0.06,0.08,0.09
6301,52,transportation ,East Midlands,2016.0,294.1,75,285.9,12.7,0.06,0.05,0.09,0.01
6302,52,transportation ,East Midlands,2017.0,484.7,156.9,384.6,39.8,0.07,0.07,0.09,0.03
6303,52,transportation ,East Midlands,2018.0,324.7,125.4,257.6,58,0.04,0.04,0.06,0.04
6304,52,transportation ,East Midlands,2019.0,745.5,99.7,671.2,47.4,0.1,0.03,0.14,0.03
6305,52,transportation ,West Midlands,2012.0,262.4,50.5,229.2,27.5,0.06,0.02,0.1,0.02
6306,52,transportation ,West Midlands,2013.0,151,65.1,105.8,18.2,0.03,0.03,0.04,0.02
6307,52,transportation ,West Midlands,2014.0,236.8,79.3,181.4,32.4,0.04,0.03,0.05,0.02
6308,52,transportation ,West Midlands,2015.0,441.1,255.4,225.8,39.5,0.06,0.07,0.06,0.03
6309,52,transportation ,West Midlands,2016.0,169.2,88,131.3,26.1,0.03,0.04,0.03,0.02
6310,52,transportation ,West Midlands,2017.0,282,107.5,209.3,36.4,0.03,0.04,0.04,0.02
6311,52,transportation ,West Midlands,2018.0,348.8,99.2,313.9,22.8,0.04,0.03,0.06,0.01
6312,52,transportation ,West Midlands,2019.0,337.6,214,197.6,48.6,0.04,0.06,0.04,0.03
6313,52,transportation ,East of England,2012.0,534.9,172.3,420.5,53.1,0.08,0.07,0.12,0.04
6314,52,transportation ,East of England,2013.0,244.2,125.1,186.6,40.4,0.04,0.05,0.06,0.04
6315,52,transportation ,East of England,2014.0,412.5,197,308.4,54.3,0.06,0.07,0.08,0.04
6316,52,transportation ,East of England,2015.0,553.6,169.3,453,55.2,0.06,0.05,0.08,0.04
6317,52,transportation ,East of England,2016.0,273.1,122.3,204.7,42.7,0.04,0.04,0.04,0.03
6318,52,transportation ,East of England,2017.0,384.4,169.9,294.6,41.8,0.04,0.05,0.05,0.03
6319,52,transportation ,East of England,2018.0,412.6,190.7,327.8,69,0.04,0.05,0.06,0.03
